CustomerID;CustomerName ;CustomerGender;CustomerDOB;CustomerAddress;CustomerNumber;CustomerEmail;MaritalStatus;WebsiteActivity;PaymentMethod;MajorProductCategory
C0144;Zizi Purwanti;Male ;16/09/1988;Psr. Bakaru No. 376, Batam 86070, Maluku;0878-555-002;zizipurnawati@gmail.com;Married;2;Internet Payment;Shampoo
C0145;Paulin Purnawati;Male ;09/12/1988;Dk. Kebangkitan Nasional No. 93, Padangsidempuan 39360, NTB;0897-555-722;widya@gmail.com;Married;3;Credit;Shampoo
C0146;Widya Yulianti S.IP;Female;24/01/1989;Gg. Flores No. 279, Sabang 90307, Bali;0816-555-959;wldya.yulianti@gmail.com;Married;2;Bank Transfer;Shower Gel
C0147;Galih Mandala;Female;03/11/1989;Jr. Sudiarto No. 651, Batam 26001, KalBar;0853-555-399;galih.madala@gmail.com;Married;3;Internet Payment;Shower Gel
C0148;Usyi Rahimah;Female;08/12/1989;Jr. Gegerkalong Hilir No. 178, Banjar 18380, JaTim;0899-555-314;usyi_rahimah@gmail.com;Married;2;Credit;Shower Gel
C0149;Nadia Laksita;Female;03/06/1990;Ds. Bata Putih No. 127, Padang 43437, KepR;0838-555-340;nadia_laksita@gmai.com;Married;2;Bank Transfer;EDT
C0150;Puput Astuti;Female;03/03/1991;Ki. R.E. Martadinata No. 218, Tanjungbalai 20538, BaBel;0899-555-777;puput.astuti@gmail.com;Married;4;Virtual Account;EDT
C0151;Emin Hidayanto;Male ;20/07/1993;Dk. Gegerkalong Hilir No. 678, Palembang 14388, Maluku;0838-555-973;emin@gmail.com;Single;5;Bank Transfer;Shower Gel
C0152;Kuncara Gunarto;Male ;08/06/1994;Jln. Jambu No. 191, Tangerang 77081, DIY;0811-555-019;kuncara.G@gmail.com;Single;5;Credit;Shower Gel
C0153;Drajat Maman Simbolon S.Pd;Male ;21/06/1994;Kpg. Antapani Lama No. 809, Bekasi 28045, SulTeng;0878-555-102;darajat_maman@gmail.com;Single;5;Bank Transfer;Shower Gel
C0154;Daru Sirait;Male ;01/03/1995;Kpg. Cikutra Barat No. 464, Pariaman 82031, SulTra;0898-555-351;daru.sirait@gmail.com;Single;3;Internet Payment;Shower Gel
C0155;Zizi Pertiwi S.Sos;Male ;14/08/1997;Ds. S. Parman No. 16, Batam 95095, SulSel;0878-555-741;ZiPertiwi@gmail.com;Single;1;Credit;Shower Gel
C0156;Pia Maya Oktaviani S.Psi;Female;07/02/1998;Ds. Bacang No. 925, Palopo 90205, Jambi;0855-555-811;pia_mya2@gmail.com;Single;4;Bank Transfer;EDT
C0157;Makuta Argono Hidayanto S.Psi;Female;16/07/1998;Ds. Orang No. 838, Tebing Tinggi 86717, Papua;0878-555-251;makauta_argono@gmail.com;Single;4;Internet Payment;EDT
C0158;Prayitna Prasetya Damanik;Female;20/07/2001;Ds. Jend. A. Yani No. 809, Kupang 43392, JaTim;0855-555-944;prayitna_prasetya@gmail.com;Single;4;Credit;Body Mist
C0159;Wasis Halim;Female;18/08/2002;Jr. Bakin No. 196, Mataram 69338, SulBar;0896-555-689;wasis_hal@gmail.com;Single;1;Bank Transfer;Body Mist
C0160;Icha Cici Yolanda;Female;25/08/2002;Ds. Madiun No. 96, Manado 73947, Lampung;0852-555-058;icha_cici@gmail.com;Single;1;Internet Payment;Body Mist
C0161;Intan Suryatmi;Male ;05/08/1971;Kpg. Bakaru No. 348, Parepare 31574, NTB;0858-555-487;intan_suryatmi@gmail.com;Married;4;Credit;Body Lotion
C0162;Hasna Ciaobella Mandasari;Male ;18/09/1972;Dk. Asia Afrika No. 230, Mataram 47330, KalTim;0878-555-482;hasna_ciaobella@gmail.com;Married;5;Credit;Body Lotion
C0163;Gawati Haryanti S.Farm;Male ;28/03/1975;Jln. Otto No. 900, Tasikmalaya 46505, Riau;0898-555-944;gawati_haryanti@gmail.com;Married;4;Bank Transfer;Body Lotion
C0164;Karsana Jailani;Male ;05/01/1978;Ki. R.M. Said No. 756, Bau-Bau 17713, SulTra;0838-555-159;Karsana@gmail.com;Married;1;Internet Payment;Shampoo
C0165;Galuh Siregar;Male ;16/12/1979;Jln. Tambun No. 432, Tomohon 79993, SulBar;0858-555-721;galuh@gmail.com;Married;4;Credit;Shampoo
C0166;Margana Sidiq Pradana;Female;06/06/1982;Ki. Cut Nyak Dien No. 873, Palopo 65126, Banten;0856-555-136;marga.sidig@gmail.com;Married;2;Virtual Account;Shower Gel
C0167;Eman Lembah Sitompul;Female;25/11/1983;Kpg. Pahlawan No. 594, Tidore Kepulauan 55705, DIY;0816-555-721;eman.lembah@gmail.com;Married;2;Bank Transfer;Shower Gel
C0168;Nrima Elvin Widodo M.Ak;Female;05/05/1985;Psr. Gatot Subroto No. 805, Payakumbuh 46850, DIY;0878-555-879;nrm.elvin@gmail.com;Married;1;Credit;Body Lotion
C0169;Gangsar Uwais;Female;17/10/1987;Ds. Rumah Sakit No. 456, Tanjungbalai 66073, SulTeng;0838-555-824;gangsar@gmail.com;Married;4;Bank Transfer;Shower Gel
C0170;Cager Adriansyah M.TI.;Female;07/05/1988;Jr. Zamrud No. 232, Yogyakarta 24171, Papua;0878-555-057;cager@gmail.com;Married;5;Internet Payment;EDT
C0171;Prakosa Utama;Male ;15/05/1989;Kpg. Uluwatu No. 97, Yogyakarta 94061, KalTim;0816-555-599;prakosa.utma@gmail.com;Single;3;Credit;Shampoo
C0172;Ulva Suartini S.E.;Male ;09/01/1990;Gg. Jambu No. 907, Serang 11062, SulBar;0838-555-672;ulva@gmail.com;Single;2;Virtual Account;Shower Gel
C0173;Kasiran Sihombing S.Sos;Male ;05/12/1992;Ds. Nanas No. 350, Kupang 89548, Bengkulu;0838-555-058;kasiran@gmail.com;Single;3;Bank Transfer;Shower Gel
C0174;Mahfud Ivan Pranowo;Male ;13/04/1993;Ki. Katamso No. 28, Bau-Bau 34552, Aceh;0878-555-635;mahfud@gmail.com;Single;4;Credit;Shower Gel
C0175;Lanjar Simbolon;Male ;20/11/1993;Gg. Qrisdoren No. 405, Magelang 40738, MalUt;0899-555-152;lanjar_s@gmail.com;Single;3;Bank Transfer;Shower Gel
C0176;Rika Fujiati;Female;20/08/1994;Dk. Teuku Umar No. 302, Palembang 86118, SulSel;0856-555-945;rika@gmail.com;Single;4;Internet Payment;EDT
C0177;Kezia Wijayanti;Female;27/09/1995;Dk. Yap Tjwan Bing No. 821, Tebing Tinggi 88686, PapBar;0838-555-563;kezia_wijayanti@gmail.com;Single;2;Credit;Shower Gel
C0178;Genta Uyainah S.T.;Female;27/05/1996;Dk. HOS. Cjokroaminoto (Pasirkaliki) No. 195, Gunungsitoli 13481, KalTeng;0852-555-467;genta_u@gmail.com;Single;5;Bank Transfer;EDT
C0179;Harsana Simbolon;Female;11/05/1997;Jln. Orang No. 533, Depok 63009, DIY;0857-555-227;harsana_s@gmail.com;Single;4;Internet Payment;EDT
C0180;Kani Safitri S.IP;Female;19/07/1997;Dk. Raya Setiabudhi No. 941, Sungai Penuh 67332, Gorontalo;0896-555-862;kani@gmail.com;Single;2;Credit;EDT
C0181;Wahyu Utama;Male ;15/09/1997;Ds. Sutoyo No. 609, Padangsidempuan 82313, SulTeng;0814-555-856;wahyu_utama@gmail.com;Married;5;Credit;Shower Gel
C0182;Lintang Hassanah;Male ;29/12/1997;Jr. Basudewo No. 11, Sibolga 12264, MalUt;0878-555-298;lintang_hassanah@gmail.com;Married;1;Bank Transfer;Shower Gel
C0183;Lembah Narpati;Male ;19/04/1999;Ds. Bambu No. 851, Tebing Tinggi 79796, BaBel;0838-555-857;lembah_narpati@gmail.com;Married;3;Internet Payment;Shower Gel
C0184;Gawati Hassanah;Male ;03/02/2000;Psr. Casablanca No. 870, Pasuruan 83680, KepR;0813-555-919;gawati@gmail.com;Married;5;Credit;EDT
C0185;Parman Budiyanto;Male ;02/01/2002;Jln. Sentot Alibasa No. 199, Singkawang 34253, KalTeng;0854-555-281;parman_budiyanto@gmail.com;Married;2;Bank Transfer;EDT
C0186;Marwata Kuswoyo;Female;16/11/1976;Gg. Padang No. 170, Tanjung Pinang 20957, Aceh;0838-555-392;marwata_k@gmail.com;Married;4;Virtual Account;Body Lotion
C0187;Uda Zulkarnain S.Sos;Female;12/05/1977;Kpg. Astana Anyar No. 308, Manado 72351, SulTra;0896-555-509;uda_zs@gmail.com;Married;3;Bank Transfer;Shower Gel
C0188;Elma Rahmawati;Female;03/02/1979;Jr. Uluwatu No. 402, Medan 18869, SumSel;0898-555-020;elma_rahmawati@gmail.com;Married;2;Credit;Shower Gel
C0189;Balijan Tamba;Female;15/07/1979;Ki. Juanda No. 503, Kendari 79743, Jambi;0816-555-975;balijan@gmail.com;Married;2;Bank Transfer;Shower Gel
C0190;Niyaga Niyaga Tamba;Female;25/09/1979;Psr. Bahagia No. 285, Probolinggo 95072, Jambi;0811-555-198;niyaga_tamba@gmail.com;Married;5;Internet Payment;Body Lotion
C0191;Rafid Wasita;Male ;27/08/1980;Kpg. Uluwatu No. 311, Banjar 34579, JaBar;0812-555-938;rafid_w@gmail.com;Single;2;Credit;Shampoo
C0192;Rudi Sirait S.I.Kom;Male ;16/10/1980;Gg. Lada No. 747, Mataram 83001, NTB;0878-555-686;rudi_sirait@gmail.com;Single;4;Virtual Account;Shampoo
C0193;Raisa Riyanti M.Pd;Male ;17/01/1982;Ki. Dewi Sartika No. 410, Padangsidempuan 28123, SulUt;0817-555-504;raisa@gmail.com;Single;1;Bank Transfer;Shampoo
C0194;Umay Kusumo;Male ;24/02/1984;Jln. Kebangkitan Nasional No. 607, Prabumulih 77418, JaBar;0859-555-427;umay@gmail.com;Single;5;Credit;Shampoo
C0195;Umi Usada;Male ;14/06/1985;Jr. Otista No. 884, Administrasi Jakarta Pusat 69529, NTT;0838-555-512;umiusada@gmail.com;Single;3;Bank Transfer;Shampoo
C0196;Harsana Marbun;Female;17/02/1986;Jln. Baja No. 654, Bengkulu 16187, NTB;0815-555-410;harsana_m@gmail.com;Single;3;Internet Payment;Shower Gel
C0197;Paris Lintang Mulyani;Female;26/07/1986;Psr. S. Parman No. 161, Malang 13105, SulTra;0818-555-088;paris_l@gmail.com;Single;4;Credit;Shower Gel
C0198;Purwadi Widodo;Female;16/08/1986;Psr. Asia Afrika No. 193, Cimahi 41868, KalSel;0838-555-199;purwadiwidodo@gmail.com;Single;4;Bank Transfer;EDT
C0199;Rama Sitorus S.H.;Female;07/10/1986;Jr. Bhayangkara No. 485, Pagar Alam 47557, KalTim;0896-555-938;rama@gmail.com;Single;2;Virtual Account;Shower Gel
C0200;Kayun Sitompul;Female;04/04/1987;Ds. Baung No. 17, Tarakan 32695, Aceh;0878-555-410;kayun@gmail.com;Single;4;Bank Transfer;EDT
C0201;Hana Rahayu;Male ;12/09/1987;Ki. Cut Nyak Dien No. 106, Sibolga 59614, SulSel;0838-555-856;hana@gmail.com;Married;2;Internet Payment;Shampoo
C0202;Anggabaya Darmanto Hutagalung;Male ;28/03/1991;Ds. Baabur Royan No. 529, Jayapura 39435, Aceh;0897-555-732;anggabaya@gmail.com;Married;2;Credit;Shower Gel
C0203;Jumadi Tugiman Maheswara;Male ;15/07/1991;Kpg. Bara No. 960, Ambon 84365, NTB;0899-555-544;jumadi@gmail.com;Married;2;Bank Transfer;Shower Gel
C0204;Jasmin Widiastuti;Male ;23/10/1991;Dk. Sutarjo No. 113, Padangpanjang 77186, Riau;0817-555-552;jasmin@gmail.com;Married;5;Credit;Shower Gel
C0205;Kamaria Winarsih;Male ;05/04/1993;Dk. Kalimantan No. 998, Balikpapan 88974, Gorontalo;0899-555-468;kamaria@gmail.com;Married;1;Credit;Shower Gel
C0206;Juli Gina Maryati;Female;17/09/1994;Kpg. Yap Tjwan Bing No. 669, Sorong 21460, SulUt;0854-555-220;juli@gmail.com;Married;4;Bank Transfer;EDT
C0207;Jabal Hutasoit;Female;19/09/1994;Gg. Kalimantan No. 828, Tanjungbalai 15253, SumBar;0819-555-926;jabal@gmail.com;Married;2;Internet Payment;Shower Gel
C0208;Jelita Prastuti;Female;07/09/1996;Jln. Warga No. 286, Sibolga 20878, Lampung;0878-555-174;jelita@gmail.com;Married;3;Credit;Body Mist
C0209;Ana Palastri;Female;24/10/1996;Jln. Yos No. 45, Pekanbaru 65342, Gorontalo;0819-555-546;anapalastri@gmail.com;Married;2;Virtual Account;EDT
C0210;Septi Farhunnisa Laksita S.Sos;Female;26/07/1999;Dk. Jayawijaya No. 327, Tual 45349, Aceh;0878-555-015;septi@gmail.com;Married;2;Bank Transfer;EDT
